access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,maximum_vehicle_class,open_date,owner_type_code,related_stations,restricted_access,status_code,funding_sources,facility_type,station_name,station_phone,updated_at,geocode_status,latitude,longitude,city,country,intersection_directions,plus4,state,street_address,zip,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_has_rng,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_workplace_charging,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_has_rng,lng_renewable_source,lng_vehicle_class,lpg_nozzle_types,lpg_primary,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blended_with_biodiesel,rd_blends,rd_blends_fr,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_charging_units,ev_network_ids.station,ev_network_ids.posts,access,has_level2,has_dc_fast,total_ports,charging_type
public,24 hours daily; by reservation only; see front desk for access,CALL,NA,3/8/2018,NA,ELEC,Public - Call ahead,84042,NA,9/1/2015,P,NA,TRUE,E,NA,RESTAURANT,Liquidity Wines,778-515-5550,4/28/2022 20:01,200-9,49.322841,-119.548607,Okanagan Falls,CA,NA,NA,BC,4720 Allendale Rd,V0H 1R2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,1,Non-Networked,NA,NA,Free,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accessible 24 heures par jour; par rÃ©servation seulement; veuillez vous prÃ©sentez Ã  la rÃ©ception pour avoir accÃ¨s,NA,NA,Public - Appeler à l'avance,Gratuit,"Non-Networked, 1, 2, list(list()), NA, 1, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0",NA,NA,public,TRUE,FALSE,1,Level 2 Only
public,24 hours daily,NA,NA,8/3/2021,NA,ELEC,Public,84048,LD,12/15/2015,P,NA,FALSE,E,NA,HOTEL,Pender Harbour Hotel,604-883-9013,4/5/2024 13:54,200-9,49.622909,-124.020729,Madeira Park,CA,NA,NA,BC,12671 Sunshine Coast Hwy,V0N 2H1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,2,Non-Networked,NA,NA,Free,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accessible 24 heures par jour,NA,NA,Public,Gratuit,"c(""Non-Networked"", ""Non-Networked""), c(1, 1), c(""2"", ""2""), list(list(), list()), c(NA, NA), c(1, 1), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0)",NA,NA,public,TRUE,FALSE,2,Level 2 Only
public,24 hours daily; for guest use only,NA,NA,10/13/2025,NA,ELEC,Public,84049,LD,3/15/2015,P,NA,TRUE,E,NA,HOTEL,Best Western - Sicamous Inn,250-836-4117,10/13/2025 20:53,200-9,50.838666,-118.969672,Sicamous,CA,NA,NA,BC,806 Trans Canada Hwy,V0E 2V0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,1,Non-Networked,NA,NA,Free,NONE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24 heures par jour; réservé aux clients,NA,NA,Public,Gratuit,"Non-Networked, 1, 2, list(list()), NA, 1, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0",NA,NA,public,TRUE,FALSE,1,Level 2 Only
private,24 hours daily; for guests use only,NA,NA,11/6/2024,NA,ELEC,Private,84054,LD,3/15/2015,P,NA,NA,E,NA,HOTEL,Best Western - Valemount Inn & Suites,250-566-0086,8/21/2025 19:32,200-8,52.818709,-119.272307,Valemount,CA,NA,NA,BC,1950 Highway 5 S,V0E 2Z0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,1,Non-Networked,NA,NA,Free,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24 heures par jour; À l'usage des clients seulement,NA,NA,Privé,Gratuit,"Non-Networked, 1, 2, list(list()), NA, 1, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0",NA,NA,private,TRUE,FALSE,1,Level 2 Only
public,7am-10pm daily; for guest use only; see front desk for access,NA,NA,9/12/2025,NA,ELEC,Public,84063,LD,8/20/2025,P,NA,TRUE,E,NA,HOTEL,Wickaninnish Inn,NA,9/12/2025 22:12,200-9,49.123956,-125.899235,Tofino,CA,NA,NA,BC,500 Osprey Ln,V0R 2Z0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,5,Non-Networked,NA,NA,Free,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7:00-22:00 par jour; Ã l'usage des clients seulement; rendez-vous Ã la rÃ©ception pour avoir accÃ¨s,NA,NA,Public,Gratuit,"c(""Non-Networked"", ""Non-Networked"", ""Non-Networked"", ""Non-Networked"", ""Non-Networked""), c(1, 1, 1, 1, 1), c(""2"", ""2"", ""2"", ""2"", ""2""), list(list(), list(), list(), list(), list()), c(NA, NA, NA, NA, NA), c(1, 1, 1, 1, 1), c(NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0)",NA,NA,public,TRUE,FALSE,5,Level 2 Only
private,24 hours daily; for guest use only,NA,NA,9/14/2022,NA,ELEC,Private,84065,LD,3/15/2014,P,NA,NA,E,NA,HOTEL,Black Rock Resort,NA,9/27/2023 22:44,200-9,48.93774,-125.554958,Ucluelet,CA,NA,NA,BC,596 Marine Dr,V0R 3A0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,2,Non-Networked,NA,NA,Free,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24 heures par jour; Ã  l'usage des clients seulement,NA,NA,Privé,Gratuit,"c(""Non-Networked"", ""Non-Networked""), c(1, 1), c(""2"", ""2""), list(list(), list()), c(NA, NA), c(1, 1), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0)",NA,NA,private,TRUE,FALSE,2,Level 2 Only
public,11am-5pm daily; For customer use only,NA,NA,9/12/2024,NA,ELEC,Public,84125,LD,3/15/2012,P,NA,TRUE,E,NA,BREWERY_DISTILLERY_WINERY,Blackhills Wine Experience Centre,250-498-0666,10/14/2025 19:49,GPS,49.10980405,-119.5489763,Oliver,CA,Located on loading dock shed at north end of parking lot,NA,BC,4190 Black Sage Rd,V0H 1T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,1,Non-Networked,NA,NA,Free,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11h à 17h tous les jours; clients uniquement,Située dans le batiment Winemakers au nord du stationnement,NA,Public,Gratuit,"Non-Networked, 1, 2, list(list()), NA, 1, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0",NA,NA,public,TRUE,FALSE,1,Level 2 Only
public,Dealership business hours,CALL,NA,4/13/2022,NA,ELEC,Public - Call ahead,83550,NA,2/9/2021,P,"184136, private, ELEC",FALSE,E,NA,CAR_DEALER,North Shore Kia,NA,10/6/2023 3:54,GPS,49.31766019,-123.0967029,North Vancouver,CA,NA,NA,BC,855 W 1st St,V7P 1A4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,1,Non-Networked,NA,NA,Free,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heures d’ouverture du concessionnaire,NA,NA,Public - Appeler à l'avance,Gratuit,"Non-Networked, 1, 2, list(list()), NA, 1, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0",NA,NA,public,TRUE,FALSE,1,Level 2 Only
public,24 hours daily; for clients,NA,NA,11/6/2024,NA,ELEC,Public,84142,LD,5/6/2015,P,"421550, private, ELEC",TRUE,E,NA,REC_SPORTS_FACILITY,Meadow Park Sports Centre,604-935-7529,10/14/2025 19:49,GPS,50.14443461,-122.959947,Whistler,CA,NA,NA,BC,8625 Highway 99,V0N 1B8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,6,Non-Networked,NA,NA,Free,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24 heures par jour; pour les clients,NA,NA,Public,Gratuit,"c(""Non-Networked"", ""Non-Networked"", ""Non-Networked"", ""Non-Networked"", ""Non-Networked"", ""Non-Networked""), c(1, 1, 1, 1, 1, 1), c(""2"", ""2"", ""2"", ""2"", ""2"", ""2""), list(list(), list(), list(), list(), list(), list()), c(NA, NA, NA, NA, NA, NA), c(1, 1, 1, 1, 1, 1), c(NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0)",NA,NA,public,TRUE,FALSE,6,Level 2 Only
public,24 hours daily,NA,NA,9/12/2025,NA,ELEC,Public,84143,LD,3/15/2017,P,NA,FALSE,E,NA,SHOPPING_CENTER,Brooks Landing Mall,604-468-7214,9/12/2025 22:12,200-8,49.19094,-123.968111,Nanaimo,CA,NA,NA,BC,2000 Island Hwy N,V9S 5W3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,1,Non-Networked,NA,NA,Free,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24 heures par jour,NA,NA,Public,Gratuit,"Non-Networked, 1, 2, list(list()), NA, 1, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0",NA,NA,public,TRUE,FALSE,1,Level 2 Only
public,24 hours daily,NA,NA,10/24/2025,NA,ELEC,Public,84159,NA,6/1/2015,NA,NA,FALSE,E,EVAFIDI,NA,BC Hydro - Sechelt - Trail Bay Mall,866-338-3369,10/24/2025 6:58,GPS,49.4721,-123.762,Sechelt,CA,NA,NA,BC,5797 Cowrie St,V0N 3A0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHADEMO, J1772COMBO, TESLA",6,NA,0,BCHYDRO,https://electricvehicles.bchydro.com/charge/public-charging/our-fast-charging-network,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accessible 24 heures par jour,NA,NA,Public,NA,"c(""BCHYDRO"", ""BCHYDRO"", ""BCHYDRO"", ""BCHYDRO"", ""BCHYDRO"", ""BCHYDRO""), c(1, 1, 1, 1, 1, 1), c(""dc_fast"", ""dc_fast"", ""dc_fast"", ""dc_fast"", ""dc_fast"", ""dc_fast""), list(""EVAFIDI"", ""EVAFIDI"", ""EVAFIDI"", ""EVAFIDI"", ""EVAFIDI"", ""EVAFIDI""), c(NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA, 180), c(0, 0, 0, 0, 0, 1), c(50, 50, NA, NA, 180, NA), c(1, 1, 0, 0, 1, 0), c(NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0), c(50, 50, 180, 180, NA, NA), c(1, 1, 1, 1, 0, 0)",111e01ae-46ae-45f9-b78e-369cbd76c3dc,"79282aec-4d77-4047-9a41-8b20381edcfd, a58a7530-7973-44ce-ae25-24fea2e1e60c, d52368e2-b364-48a6-ae83-d619ac049e71, e6028153-e330-437f-a906-4546de972e5e, ecb20ce3-3859-4c9e-9a03-eec19da119fd, f3dfccf1-6314-420f-9a74-b40fe8700095",public,FALSE,TRUE,6,DC Fast Only
private,8am-5pm daily; For client use only,NA,NA,8/9/2022,NA,ELEC,Private,84165,MD,3/15/2010,P,NA,NA,E,NA,TRAVEL_CENTER,Church Road Transfer Station,NA,9/28/2023 2:13,200-9,49.310407,-124.356133,Parksville,CA,NA,NA,BC,860 Church Rd,V9P 2B8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,1,Non-Networked,NA,NA,Free,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8:00-17:00 tous les jours; Å l'usage des clients seulement,NA,NA,Privé,Gratuit,"Non-Networked, 1, 2, list(list()), NA, 1, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0",NA,NA,private,TRUE,FALSE,1,Level 2 Only
public,Dealership business hours; for client use only; Drivers must bring their own J1772 cordset for Level 1 charging,CALL,NA,7/8/2022,NA,ELEC,Public - Call ahead,84182,LD,3/15/2013,P,NA,TRUE,E,NA,CAR_DEALER,Kelowna Infiniti Nissan,250-712-0404,10/6/2023 3:00,200-9,49.889576,-119.428027,Kelowna,CA,NA,NA,BC,2741 Highway 97 N,V1X 4J8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J1772, NEMA520",0,1,1,Non-Networked,NA,NA,Free,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heures d'ouverture du concessionnaire; Ã  l'usage des clients seulement,NA,NA,Public - Appeler à l'avance,Gratuit,"c(""Non-Networked"", ""Non-Networked""), c(1, 1), c(""2"", ""1""), list(list(), list()), c(NA, NA), 1:0, c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), 0:1, c(NA, NA), c(0, 0), c(NA, NA), c(0, 0)",NA,NA,public,TRUE,FALSE,1,Level 2 Only
private,NA,NA,NA,8/12/2025,NA,ELEC,Private,84184,LD,3/1/2017,P,NA,NA,E,NA,CAR_DEALER,Kelowna Chevrolet,NA,8/12/2025 21:27,GPS,49.88404439,-119.4312586,Kelowna,CA,NA,NA,BC,2350 Highway 97 N,V1Y 6G8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,4,Non-Networked,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Privé,NA,"c(""Non-Networked"", ""Non-Networked"", ""Non-Networked"", ""Non-Networked""), c(1, 1, 1, 1), c(""2"", ""2"", ""2"", ""2""), list(list(), list(), list(), list()), c(NA, NA, NA, NA), c(1, 1, 1, 1), c(NA, NA, NA, NA), c(0, 0, 0, 0), c(NA, NA, NA, NA), c(0, 0, 0, 0), c(NA, NA, NA, NA), c(0, 0, 0, 0), c(NA, NA, NA, NA), c(0, 0, 0, 0), c(NA, NA, NA, NA), c(0, 0, 0, 0), c(NA, NA, NA, NA), c(0, 0, 0, 0), c(NA, NA, NA, NA), c(0, 0, 0, 0)",NA,NA,private,TRUE,FALSE,4,Level 2 Only
